	LogPcg	LogPcw	LogKow	LogB 
3methylbenzenesulfonamide	9.15	0.32	0.85	-999
4methylbenzenesulfonamide	9.18	0.33	0.82	-999
pyridine	4.73	1.29	0.64	-999
2methylpyridine	5.12	1.72	1.11	-999
3methylpyridine	5.39	1.89	1.2	-999
4methylpyridine	5.5	1.88	1.22	-999
2ethylpyridine	5.44	2.26	1.69	-999
2chloropyridine	5.22	2	1.27	-999
2bromopyridine	5.29	1.65	1.4	-999
2methoxypyridine	4.94	2.21	1.37	-999
2acetylpyridine	6.32	1.93	0.84	-999
2cyanopyridine	6.24	1.42	0.5	-999
3cyanopyridine	6.29	1.34	0.36	-999
4cyanopyridine	5.71	1.29	0.46	-999
4aminopyridine	5.4	-0.71	0.27	-999
2nndimethylaminopyridine	6.45	2.45	-999	-999
nicotine	7.74	1.89	1.17	-999
piperidine	4.67	0.92	0.85	-999
nmethylpiperidine	4.21	1.44	1.3	-999
atropine	13.6	2.44	1.81	-999
nmethyl2pyridone	6.86	0.26	-0.23	-999
quinoline	6.98	2.77	2.02	-999
isoquinoline	6.9	2.98	2.09	-999
pyrrole	4.12	0.91	0.75	-999
carbazole	9.15	3.75	3.74	-999
nmethylimidazole	5.25	0.29	-999	-999
benzimidazole	7.62	-0.02	1.4	-999
2cyanopyrazine	5.68	1.03	-0.01	-999
pyrazine	4.58	0.59	-0.22	-999
2methylpyrazine	5.08	1.04	0.23	-999
23dimethylpyrazine	5.64	1.46	-999	-999
25dimethylpyrazine	5.62	1.54	0.63	-999
trimethylpyrazine	6.18	1.93	-999	-999
tetramethylpyrazine	6.77	2.32	-999	-999
2ethylpyrazine	5.66	1.66	0.69	-999
23diethylpyrazine	6.73	2.47	-999	-999
2methyl3isobuthylpyrazine	7.09	2.85	-999	-999
2fluoropyrazine	4.18	1.07	0.29	-999
2chloropyrazine	5.02	1.59	0.7	-999
2methoxypyrazine	5.26	1.71	0.73	-999
2ethoxypyrazine	5.72	2.25	1.28	-999
2propoxypyrazine	6.21	2.89	1.84	-999
methyl2pyrazinecarboxylate	7.76	1.36	-0.23	-999
ethyl2pyrazinecarboxylate	8.18	1.88	0.28	-999
2dimethylaminopyrimidine	6.39	1.99	1.07	-999
5dimehylaminopyrimidine	6.56	1.33	0.46	-999
2cyanopyrimidine	5.09	0.84	-0.31	-999
2thiomethoxypyrimidine	6.5	1.93	1.01	-999
pyrimidine	4.71	0.32	-0.4	-999
2methylpyrimidine	5.14	0.67	-0.05	-999
5mehtylpyrimidine	5.45	0.95	0.01	-999
2fluoropyrimidine	4.15	0.85	0.02	-999
5fluoropyrimidine	4.54	0.89	-0.03	-999
2chloropyrimidine	5.01	1.16	0.36	-999
5chloropyrimidine	4.98	1.43	0.47	-999
2bromopyrimidine	5.29	1.35	0.5	-999
5bromopyrimidine	5.76	1.65	0.66	-999
2methoxypyrimidine	5.95	1.28	0.23	-999
2ethoxypyrimidine	6.34	1.77	0.74	-999
5ethoxypyrimidine	6.14	1.59	0.56	-999
methyl2pyridinecarboxylate	8.09	0.73	-999	-999
methyl5pyridinecarboxylate	7.78	1.55	0.03	-999
ethyl2pyrimidinecarboxylate	8.63	1.13	-0.31	-999
antipyrine	11.19	1.45	0.28	-999
nndimethylpiperazine	5.47	-0.2	-999	-999
124triazole	6.1	-2.42	-999	-999
purine	7.5	-1.95	-999	-999
adenine	8.56	-2.48	-999	-999
morpholine	4.93	-0.33	-1.08	-999
